collector_id,collector_name
kr_1,"Achrenius, Henrik"
kr_2,"Juden, Jacob"
kr_3,Laurentius Petri Aboicus
kr_4,"Lizelius, Antti"
kr_5,?
kr_6,"I.G.H.S. Calamnius, Jooseppi Gabrielinpoika"
kr_7,"Lagerbergh, Gabriel"
kr_8,"Lithovius, Zacharias"
kr_9,"Mennander, Jonas"
kr_10,"Rothovius, Arvidi Johannes"
kr_11,"Wallen, Jeremias"
kr_12,"Ragwaldinpoika, Thomas"
kr_13,"Forshäll, Henrik"
kr_14,"Korhonen, Paavo"
kr_15,"Lyytinen, Anna Reetta"
kr_16,"Achrenius, Simo"
kr_17,"Frosterius, Juhana"
kr_18,"Ticklen, Eerikki"
kr_19,"Ticklen, Pietari"
kr_20,"Poppius, Kustavi"
kr_21,"Berg, Samuel Kustavi (Kallio)"
kr_22,"Schröder, Konstantin"
kr_23,"Makkonen, Pietari"
kr_24,"Kymäläinen, Olli"
kr_25,"Lyytinen, Pentti"
kr_26,"Bäckvall, Juhana"
kr_27,"Räty, Antti"
kr_28,"Blom, Eerikki Juhana"
kr_29,"Polen, Fredrikki"
kr_30,"Lyytinen, Opatti"
kr_32,"Salamnius, Matthias"
kr_33,"Keckonum, Johannes Andreas"
kr_34,"Swahn, Ericus Matthiae"
kr_35,"Hartman, Jonas"
kr_36,"Rein, Carl"
kr_37,"Salonius, Johannes"
kr_38,"Lilius, Henrikki"
kr_39,"Calamnius, Gabriel"
kr_40,"Ryynäinen, Ambrosius"
kr_41,"Hirvoinen, Yrjö"
kr_42,"Keäriäinen, Jaakko"
kr_44,"Tuovinen, Oatto"
kr_45,"Huuhtinen, Heikki"
kr_46,"Summainen, Heikki"
kr_47,"Heikkinen, Poavo"
kr_48,Ikoinen
kr_49,"Viljakainen, Risto"
kr_50,"Nissinen, Lassi"
kr_51,"Koivuinen, Mikko"
